Angle	Intensity
37.707	1.27E-02
37.724	6.48E-03
37.741	6.81E-03
37.758	1.08E-02
37.775	1.04E-02
37.792	1.58E-02
37.809	4.79E-05
37.826	4.74E-03
37.843	8.70E-03
37.86	1.34E-02
37.877	1.51E-02
37.894	1.47E-02
37.911	6.20E-03
37.928	1.75E-02
37.945	2.43E-02
37.962	3.12E-02
37.979	3.87E-02
37.996	3.46E-02
38.013	3.78E-02
38.03	3.80E-02
38.047	4.19E-02
38.064	5.82E-02
38.081	5.63E-02
38.098	5.43E-02
38.115	7.86E-02
38.132	9.05E-02
38.149	8.27E-02
38.166	9.24E-02
38.183	1.09E-01
38.2	1.27E-01
38.217	1.41E-01
38.234	1.34E-01
38.251	1.42E-01
38.268	1.51E-01
38.285	1.56E-01
38.302	1.71E-01
38.319	1.85E-01
38.336	1.80E-01
38.353	1.91E-01
38.37	1.91E-01
38.387	1.83E-01
38.404	1.87E-01
38.421	1.99E-01
38.438	1.94E-01
38.455	2.05E-01
38.472	2.19E-01
38.489	2.18E-01
38.506	1.86E-01
38.523	1.76E-01
38.54	1.90E-01
38.557	1.75E-01
38.574	1.72E-01
38.591	1.60E-01
38.608	1.66E-01
38.625	1.61E-01
38.642	1.56E-01
38.659	1.26E-01
38.676	1.43E-01
38.693	9.64E-02
38.71	1.13E-01
38.727	9.56E-02
38.744	9.49E-02
38.761	9.71E-02
38.778	7.15E-02
38.795	1.00E-01
38.812	4.43E-02
38.829	4.94E-02
38.846	4.57E-02
38.863	1.20E-02
38.88	3.10E-02
38.897	2.80E-02
38.914	2.06E-02
38.931	3.22E-02
38.948	5.09E-03
38.965	2.91E-02
38.982	2.02E-02
38.999	2.45E-02
39.016	2.00E-02
39.033	2.72E-02
39.05	1.54E-02
39.067	5.03E-03
39.084	3.43E-03
39.101	6.22E-03
39.118	2.73E-02
39.135	1.98E-02
39.152	1.35E-03
39.169	4.84E-03
39.186	1.49E-02
39.203	1.32E-02
39.22	1.60E-02
39.237	1.94E-02
39.254	1.41E-02
39.271	2.41E-02
39.288	3.71E-02
39.305	4.42E-02
39.322	3.30E-02
39.339	7.86E-03
39.356	2.88E-02
39.373	4.54E-02
39.39	3.71E-02
39.407	3.97E-02
39.424	4.09E-02
39.441	3.41E-02
39.458	3.60E-02
39.475	6.06E-02
39.492	6.39E-02
39.509	4.39E-02
39.526	4.43E-02
39.543	5.06E-02
39.56	5.40E-02
39.577	4.86E-02
39.594	5.42E-02
39.611	6.49E-02
39.628	6.54E-02
39.645	8.19E-02
39.662	5.97E-02
39.679	8.00E-02
39.696	8.92E-02
39.713	9.27E-02
39.73	1.02E-01
39.747	9.59E-02
39.764	1.00E-01
39.781	9.47E-02
39.798	1.12E-01
39.815	1.40E-01
39.832	1.14E-01
39.849	1.13E-01
39.866	1.22E-01
39.883	1.22E-01
39.9	1.49E-01
39.917	1.53E-01
39.934	1.45E-01
39.951	1.33E-01
39.968	1.32E-01
39.985	1.53E-01
40.002	1.48E-01
40.019	1.42E-01
40.036	1.47E-01
40.053	1.67E-01
40.07	1.42E-01
40.087	1.61E-01
40.104	1.57E-01
40.121	1.68E-01
40.138	1.59E-01
40.155	1.57E-01
40.172	1.42E-01
40.189	1.39E-01
40.206	1.43E-01
40.223	1.50E-01
40.24	1.75E-01
40.257	1.73E-01
40.274	1.49E-01
40.291	1.49E-01
40.308	1.36E-01
40.325	1.40E-01
40.342	1.68E-01
40.359	1.44E-01
40.376	1.26E-01
40.393	1.28E-01
40.41	1.13E-01
40.427	1.14E-01
40.444	1.17E-01
40.461	1.08E-01
40.478	9.70E-02
40.495	1.30E-01
40.512	1.03E-01
40.529	1.07E-01
40.546	7.35E-02
40.563	7.78E-02
40.58	9.82E-02
40.597	1.06E-01
40.614	6.53E-02
40.631	7.86E-02
40.648	6.11E-02
40.665	7.45E-02
40.682	6.46E-02
40.699	3.93E-02
40.716	4.04E-02
40.733	4.02E-02
40.75	3.56E-02
40.767	3.77E-02
40.784	3.55E-02
40.801	7.06E-03
40.818	7.99E-03
40.835	4.12E-02
40.852	1.60E-02
40.869	8.46E-03
40.886	1.05E-02
40.903	-1.14E-02
40.92	-9.82E-03
40.937	1.02E-02
40.954	3.10E-02
40.971	2.93E-02
40.988	5.70E-04
41.005	-2.66E-02
41.022	-1.92E-02
41.039	-4.49E-03
41.056	-1.97E-02
41.073	-2.02E-02
41.09	-1.19E-02
41.107	-1.01E-02
41.124	-1.34E-02
41.141	-2.19E-02
41.158	-1.42E-02
41.175	-1.76E-02
41.192	-1.44E-02
41.209	-1.63E-02
41.226	-1.38E-02
41.243	-1.36E-02
41.26	-1.13E-02
41.277	-2.29E-02
41.294	-2.28E-02
41.311	-8.15E-03
41.328	-7.45E-03
41.345	-1.78E-02
41.362	-1.79E-03
41.379	-1.96E-03
41.396	-6.57E-03
41.413	3.42E-03
41.43	7.49E-03
41.447	1.45E-02
41.464	1.85E-02
41.481	1.51E-02
41.498	5.11E-03
41.515	2.40E-03
41.532	2.67E-02
41.549	1.81E-02
41.566	1.31E-02
41.583	3.80E-02
41.6	5.41E-02
41.617	6.95E-02
41.634	9.21E-02
41.651	7.89E-02
41.668	1.15E-01
41.685	1.68E-01
41.702	3.47E-01
41.719	1.05E+00
41.736	4.57E+00
41.753	2.32E+01
41.77	6.83E+01
41.787	1.07E+02
41.804	1.10E+02
41.821	5.45E+01
41.838	1.13E+01
41.855	1.72E+00
41.872	3.91E-01
41.889	3.44E-01
41.906	3.47E-01
41.923	3.05E-01
41.94	2.10E-01
41.957	1.46E-01
41.974	8.22E-02
41.991	5.75E-02
42.008	3.87E-02
42.025	3.74E-02
42.042	2.43E-02
42.059	4.28E-02
42.076	3.92E-02
42.093	2.90E-02
42.11	2.99E-02
42.127	1.97E-02
42.144	1.53E-02
42.161	3.22E-02
42.178	1.76E-02
42.195	2.13E-02
42.212	3.15E-02
42.229	2.64E-02
42.246	2.12E-02
42.263	1.68E-02
42.28	1.01E-02
42.297	-1.80E-04
42.314	1.94E-03
42.331	7.68E-03
42.348	5.39E-03
42.365	3.82E-03
42.382	1.69E-02
42.399	1.09E-02
42.416	2.17E-02
42.433	1.57E-02
42.45	1.55E-02
42.467	-1.49E-03
42.484	9.29E-03
42.501	3.99E-03
42.518	1.33E-02
42.535	1.89E-02
42.552	1.21E-02
42.569	1.70E-02
42.586	1.82E-02
42.603	1.72E-02
42.62	5.28E-03
42.637	3.28E-02
42.654	2.16E-02
